mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.022798728942871094,0.000748252184938288,0.0018010139465332031,0.00039970901451136075,1,{'Boost__n_estimators': 1},0.9209264228825159,0.9421265795442272,0.9391780969867156,0.9325521114591209,0.9329373222450228,0.9335417286205538,0.007294638380627223,12,0.9499207977823378,0.9474375737066093,0.9494069063598851,0.9537999552025735,0.9539227433296363,0.9508975952762084,0.0025582513535108704
0.037000083923339845,0.0022802277749949637,0.0017997264862060548,0.0004001420316668806,2,{'Boost__n_estimators': 2},0.9209264228825159,0.9421265795442272,0.9391780969867156,0.9325521114591209,0.9329373222450228,0.9335417286205538,0.007294638380627223,12,0.9499207977823378,0.9474375737066093,0.9494069063598851,0.9537999552025735,0.9539227433296363,0.9508975952762084,0.0025582513535108704
0.08179941177368164,0.005810254314952794,0.003400230407714844,0.0013572119176827472,5,{'Boost__n_estimators': 5},0.9377283455656504,0.9651618245310868,0.9473449256579184,0.9420257767217483,0.9433326133131728,0.947116927396967,0.009529471137071411,11,0.9750945026460741,0.9759422976762009,0.9701773276445996,0.9755051179710543,0.9706519509819003,0.9734742393839658,0.002516981185845735
0.16780033111572265,0.028294769899208698,0.004000234603881836,0.0006312795866173043,10,{'Boost__n_estimators': 10},0.9510330110899156,0.9690067321885013,0.9590722540231127,0.9520106562983764,0.951549843395615,0.9565334625562265,0.006892878288329071,10,0.9906622385426791,0.9867979150306161,0.9894446063628536,0.988924443472934,0.992525778760083,0.9896709964338332,0.0018971311807987798
0.3195992946624756,0.019510331892052937,0.006999540328979492,0.00126576260088601,20,{'Boost__n_estimators': 20},0.9586633903456302,0.9628667602692875,0.9639305900565217,0.9645336069409943,0.9572794038233071,0.961454224211019,0.002926683815511447,9,0.9916653166288656,0.991565400194842,0.9920912976950913,0.9930574108706622,0.9937948142930778,0.9924348479365077,0.0008606088165121229
0.42479944229125977,0.04956360675830741,0.010799503326416016,0.005635490654509501,30,{'Boost__n_estimators': 30},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9564333801346437,0.9622653807538692,0.003773350685661639,1,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9937405041599539,0.9926499360163902,0.0007747907569596067
0.4327991008758545,0.056995621512017765,0.008000612258911133,0.0008950573742494332,40,{'Boost__n_estimators': 40},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.40459933280944826,0.0475956326316946,0.007399463653564453,0.0012001912139856013,50,{'Boost__n_estimators': 50},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.40560064315795896,0.04319411268878947,0.007799482345581055,0.0007479084133910886,60,{'Boost__n_estimators': 60},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.39459934234619143,0.04731415728378868,0.008201074600219727,0.000748086099882669,70,{'Boost__n_estimators': 70},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.4159996032714844,0.061916025195227375,0.008400154113769532,0.002244398441231407,80,{'Boost__n_estimators': 80},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.40959978103637695,0.03452325348577382,0.007799673080444336,0.0007480888353423145,90,{'Boost__n_estimators': 90},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
0.3666064739227295,0.01453566622029766,0.0056060791015625,0.0007961348448508719,100,{'Boost__n_estimators': 100},0.9593100326554366,0.9649944198437556,0.9641483961550924,0.9664434604168917,0.9558051625445513,0.9621397609153679,0.003970710465045621,2,0.9917260683299133,0.9919455711267092,0.9925200441497528,0.9933174923156222,0.9940663649586974,0.992715108176139,0.00087145838755137
